Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
1,12,4,3,0,2752,5091,178,109,159,3078,1640,4,79,17,100
2,12,3,10,0,10460,19057,1457,1361,1674,11710,6112,5,130,29,164
1,12,3,3,0,2413,4373,177,113,154,2812,1503,0,66,14,80
1,12,2,10,1,50128,87991,2211,790,1119,61027,32048,58,1572,147,1777
1,12,2,3,0,7244,13594,671,410,580,6228,3200,19,325,49,393
2,12,1,9,0,10472,20849,1191,1073,1389,16034,7852,1,152,33,186
1,12,1,3,1,11692,19479,481,265,364,15432,9328,3,249,27,279
1,12,7,9,1,13720,24137,537,232,305,19728,11056,0,325,14,339
2,12,7,3,0,11844,22538,1530,1407,1692,15220,7912,0,161,31,192
1,12,6,10,0,4694,8668,280,183,250,4309,2324,3,113,26,142
2,12,5,10,0,21744,42334,4258,4100,4540,37849,18952,0,233,19,252
1,12,5,10,0,3112,5590,208,127,145,3887,2174,0,88,18,106
1,12,5,10,0,2847,5133,193,115,133,3779,2072,0,90,14,104
1,12,5,3,0,2549,4896,249,134,168,3631,1917,5,137,10,152
1,12,4,5,1,22784,39941,887,337,417,34415,19312,2,577,20,599
2,12,3,10,0,10060,19680,1264,1209,1425,17272,8548,4,86,18,108
1,12,3,3,0,1722,2981,163,123,148,1868,1050,2,40,12,54
1,12,2,12,1,53264,111785,1706,1103,1655,92512,39776,15,678,20,713
2,12,2,3,0,3930,7509,130,86,112,5009,2410,4,54,17,75
1,12,1,11,0,1591,2825,121,88,111,2116,1161,0,34,8,42
1,12,1,3,0,2848,5066,200,142,184,3561,1963,3,66,12,81
1,12,7,10,0,1384,2467,15,15,20,2196,1172,0,0,0,0
3,12,7,10,0,3454,6853,118,104,130,6282,3100,0,16,2,18
1,12,7,3,0,2723,4888,176,118,143,2964,1621,0,72,24,96
2,12,6,10,0,8488,15294,1341,1270,1489,9684,5244,3,99,19,121
2,12,6,3,0,8284,15104,1521,1462,1711,10266,5372,0,88,18,106
2,12,5,11,0,19552,34143,2806,2531,3420,17748,9824,10,412,72,494
1,12,5,3,0,2478,4306,212,124,149,2612,1443,0,100,17,117
1,12,5,3,0,9560,18264,973,559,885,9217,4748,36,523,63,622
4,12,4,11,1,36208,61262,1141,1068,1728,30131,14112,18,143,13,174
1,12,4,2,0,4940,9390,385,306,501,5860,2930,33,107,22,162
1,12,3,10,0,1683,2929,192,171,221,1585,858,1,27,11,39
1,12,3,3,0,5280,9578,368,237,345,4480,2422,2,155,47,204
1,12,2,9,0,3002,5318,268,185,247,3039,1676,4,98,23,125
1,12,2,3,0,3766,7149,298,260,431,5782,2938,2,56,17,75
1,12,1,11,0,4512,7808,423,284,431,5183,2954,6,172,21,199
1,12,1,3,0,2690,4628,252,168,226,3052,1727,0,96,17,113
1,12,7,10,1,19800,28663,479,424,805,5187,2752,16,76,8,100
2,12,7,9,0,17576,33058,5352,5202,6547,23135,11792,11,227,31,269
1,12,7,3,0,3290,6085,306,284,402,4986,2584,1,44,14,59
2,12,6,11,0,13280,24198,2055,1912,2720,17627,9344,7,216,39,262
3,12,6,3,1,18480,28438,517,366,460,12078,6752,6,187,18,211
1,12,5,10,0,7268,13989,2087,2079,12074,13544,7096,7,26,3,36
3,12,5,3,1,2645,4270,134,109,170,2330,1377,7,29,10,46
1,12,4,11,0,4284,8387,355,316,513,7283,3634,0,47,11,58
3,12,4,3,1,7968,13023,206,158,223,6734,3492,4,57,10,71
2,12,3,11,0,16576,30612,3572,3464,4802,24363,12888,4,174,36,214
3,12,3,2,0,1925,3481,97,83,126,2307,1180,6,18,8,32
1,12,2,11,0,3786,7329,338,283,450,6336,3216,0,77,15,92
3,12,2,2,0,1536,3094,84,76,99,2903,1407,1,12,1,14
1,11,1,9,0,1728,3155,108,65,95,2313,1232,1,48,9,58
1,11,1,3,1,25248,40125,726,467,863,16132,8608,24,285,28,337
1,11,7,9,0,4894,8899,355,181,264,4914,2712,9,202,31,242
1,11,7,3,0,2935,5439,237,182,401,3901,2044,4,64,19,87
1,11,6,10,0,2425,4462,260,213,433,3017,1510,4,66,13,83
4,11,6,2,1,16416,31950,459,411,539,21436,9568,2,65,14,81
1,11,5,11,0,5812,10465,343,204,301,4976,2764,2,164,54,220
1,11,5,3,0,2545,4846,165,131,167,3675,1901,0,40,13,53
1,11,4,10,0,2257,4372,230,173,327,3188,1557,3,76,11,90
1,11,4,3,1,27072,84885,421,304,487,35637,9712,4,139,17,160
1,11,3,11,1,10940,27951,417,335,591,15066,5100,8,101,14,123
1,11,3,2,1,50912,164528,630,513,952,54653,12704,8,144,10,162
1,11,2,10,1,28752,47358,802,654,1268,14091,7456,10,179,13,202
1,11,2,3,1,27216,81908,541,335,540,26869,7760,4,219,22,245
